Rossz,Szomszedos,Marc. 3--5.,Marc. 10--12.,Marc. 17--19.,Marc. 24--26.,Marc. 31. -- apr. 2.,Tavaszi szunet,apr. 21--23.,apr. 28. -- maj. 1.,Maj. 5--7.,Maj. 12--14.,Maj. 19--21.,Maj. 26--28.,Jun. 3--5.,Jun. 10--12.,Jun. 16--18.,Jun. 23--25.
5,1,,Okapi,,Beluga,Ka,,,Lemur,,,Medve,,Bebe,,Monguz,
5,1,,Bebe,,Beluga,Ka,,,Lemur,,,Okapi,,Medve,,Monguz,
5,1,,Bebe,,Beluga,Ka,,,Monguz,,,Lemur,,Medve,,Okapi,
5,1,,Bebe,,Beluga,Ka,,Monguz,,,,Medve,,Lemur,,Okapi,
5,1,,Okapi,,Beluga,Ka,,,Monguz,,,Medve,,Lemur,,Bebe,
5,1,Bebe,,,Beluga,Ka,,,Monguz,,,Medve,,Lemur,,Okapi,
5,1,,Okapi,,Beluga,Ka,,,Monguz,,,Medve,,Bebe,,Lemur,
5,1,,Bebe,,Beluga,Ka,,,Monguz,,,Okapi,,Medve,,Lemur,
5,1,,Bebe,,Beluga,Ka,,,Okapi,,,Monguz,,Medve,,Lemur,
5,1,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,,Monguz,,Lemur,
5,1,,Okapi,,Beluga,Ka,,,Monguz,,,Medve,,Bebe,,,Lemur
5,1,,Bebe,,Beluga,Ka,,,Monguz,,,Okapi,,Medve,,,Lemur
5,1,,Bebe,,Beluga,Ka,,,Okapi,,,Monguz,,Medve,,,Lemur
5,1,,Bebe,,Beluga,Ka,,,Okapi,,,Medve,,Monguz,,,Lemur
5,1,,Bebe,,Beluga,Lemur,,,Ka,,,Monguz,,Medve,,Okapi,
5,1,,Bebe,,Beluga,Lemur,,,Ka,,,Medve,,Monguz,,Okapi,
5,1,,Bebe,,Beluga,,,Monguz,Ka,,,Medve,,Lemur,,Okapi,
5,1,,Bebe,,Beluga,,,,Ka,,Monguz,Medve,,Lemur,,Okapi,
5,1,,Lemur,,Beluga,,,,Monguz,,Ka,Medve,,Bebe,,Okapi,
5,1,,Bebe,,Beluga,Lemur,,,Monguz,,Ka,,Medve,,,Okapi,
5,1,,Bebe,,Beluga,Lemur,,,Monguz,,Ka,,,Medve,,Okapi,
5,1,,Bebe,,Beluga,Monguz,,,Lemur,,Ka,,Medve,,,Okapi,
5,1,,Bebe,,Beluga,Monguz,,,Lemur,,Ka,,,Medve,,Okapi,
5,1,,Medve,,Beluga,,,,Lemur,,Ka,Monguz,,Bebe,,Okapi,
5,1,,Bebe,,Beluga,,,,Lemur,,Ka,,Monguz,Medve,,Okapi,
5,1,,Bebe,,Beluga,,,,Lemur,,Ka,,Medve,Monguz,,Okapi,
5,1,,Okapi,,Beluga,,,,Lemur,,Ka,Medve,,Bebe,,Monguz,
5,1,,Bebe,,Beluga,,,,Lemur,,Ka,Okapi,,Medve,,Monguz,
5,1,,Bebe,,Beluga,,,,Monguz,,Ka,Lemur,,Medve,,Okapi,
5,1,,Bebe,,Beluga,,,,Monguz,,Ka,,Lemur,Medve,,Okapi,
5,1,,Bebe,,Beluga,,,Monguz,,,Ka,Medve,,Lemur,,Okapi,
5,1,,Okapi,,Beluga,,,,Monguz,,Ka,Medve,,Lemur,,Bebe,
5,1,Bebe,,,Beluga,,,,Monguz,,Ka,Medve,,Lemur,,Okapi,
5,1,,Bebe,,,Beluga,,,Monguz,,Ka,Medve,,Lemur,,Okapi,
5,1,,Bebe,,Beluga,,,,Okapi,,Ka,,Medve,Lemur,,Monguz,
5,1,,Okapi,,Beluga,,,,Monguz,,Ka,Medve,,Bebe,,Lemur,
5,1,,Bebe,,Beluga,,,,Monguz,,Ka,Okapi,,Medve,,Lemur,
