Rossz,Szomszedos,Márc. 2--4.,Márc. 15--18.,Ápr. 13--15.,Ápr. 27. - máj. 1.,Máj. 4--6.,Máj. 11--13.,Máj. 18--20.,Máj. 25--27.,Jún. 1--3.,Jún. 8--10.,Jún. 15--17.,Jún. 18--22.,Jún. 22--24.
7,3,Kb,,Franny,Ka,,,Mongúz,Lemur,Medve+Bébé,,Zooey,,
7,3,Kb,,Franny,Ka,,,Mongúz,Medve+Bébé,Lemur,,Zooey,,
7,4,Kb,,Franny,Ka,,Zooey,Lemur,Mongúz,Medve+Bébé,,,,
7,4,Kb,,Franny,Ka,,Zooey,Lemur,Medve+Bébé,Mongúz,,,,
7,4,Kb,,Franny,Ka,,Zooey,Medve+Bébé,Lemur,Mongúz,,,,
7,4,Kb,,Franny,Ka,,Zooey,Medve+Bébé,Mongúz,Lemur,,,,
7,4,,,Franny,Ka,,Zooey,Kb,Mongúz,Medve+Bébé,,Lemur,,
7,4,,,Franny,Ka,,Zooey,Kb,Medve+Bébé,Mongúz,,Lemur,,
7,4,,,Franny,Ka,,Zooey,Kb,,Medve+Bébé,Mongúz,Lemur,,
7,4,,,Franny,Ka,,Zooey,Lemur,Kb,Medve+Bébé,,Mongúz,,
7,4,,,Franny,Ka,,Zooey,Medve+Bébé,Kb,Lemur,,Mongúz,,
7,4,,,Franny,Ka,,Zooey,Mongúz,Kb,Medve+Bébé,,Lemur,,
7,4,,,Franny,Ka,,Zooey,Lemur,Medve+Bébé,Kb,,Mongúz,,
7,4,,,Franny,Ka,,Zooey,Medve+Bébé,Lemur,Kb,,Mongúz,,
7,4,,,Franny,Ka,,Zooey,Mongúz,Medve+Bébé,Kb,,Lemur,,
7,4,,,Franny,Ka,,Zooey,Mongúz,Lemur,Medve+Bébé,,Kb,,
7,4,,,Franny,Ka,,Zooey,Mongúz,Medve+Bébé,Lemur,,Kb,,
7,4,,,Franny,Ka,,Zooey,Mongúz,Lemur,Medve+Bébé,,,,Kb
7,4,,,Franny,Ka,,Zooey,Mongúz,Medve+Bébé,Lemur,,,,Kb
7,4,Kb,,Franny,,,Zooey,Lemur,Ka,Medve+Bébé,Mongúz,,,
7,4,Kb,,Franny,,,Zooey,Medve+Bébé,Ka,Lemur,Mongúz,,,
7,4,Kb,,Franny,,,Zooey,Mongúz,Lemur,Medve+Bébé,Ka,,,
7,4,Kb,,Franny,,,Zooey,Mongúz,Medve+Bébé,Lemur,Ka,,,
7,4,Kb,,Mongúz,Ka,,Zooey,Lemur,Medve+Bébé,Franny,,,,
7,4,Kb,,Mongúz,Ka,,Zooey,Medve+Bébé,Lemur,Franny,,,,
7,4,,,Mongúz,Ka,,Zooey,Kb,Medve+Bébé,Franny,,Lemur,,
7,4,Kb,,Franny,Ka,,Lemur,Medve+Bébé,Mongúz,Zooey,,,,
7,4,Kb,,Franny,Ka,,,Mongúz,Medve+Bébé,Zooey,Lemur,,,
7,4,Kb,,Franny,Ka,,,,Medve+Bébé,Zooey,Lemur,Mongúz,,
7,4,,,Franny,Ka,,,Kb,Medve+Bébé,Zooey,,Lemur,Mongúz,
7,4,,,Franny,Ka,,Lemur,Medve+Bébé,Kb,Zooey,,Mongúz,,
7,4,,,Franny,Ka,,Lemur,Mongúz,Medve+Bébé,Zooey,,Kb,,
7,4,,,Franny,Ka,,Lemur,Mongúz,Medve+Bébé,Zooey,,,,Kb
7,4,,,Franny,Ka,,,Lemur,Medve+Bébé,Zooey,Mongúz,,,Kb
7,4,,,Franny,Ka,,,Medve+Bébé,Lemur,Zooey,Mongúz,,,Kb
7,4,,,Franny,Ka,,,,Medve+Bébé,Zooey,Mongúz,Lemur,,Kb
7,4,Kb,,Franny,,,,Ka,Medve+Bébé,Zooey,Mongúz,Lemur,,
7,4,Kb,,Franny,,,Lemur,Medve+Bébé,Ka,Zooey,Mongúz,,,
7,4,Kb,,Franny,,,,Medve+Bébé,Ka,Zooey,Lemur,Mongúz,,
7,4,,,Franny,,,,Medve+Bébé,Ka,Zooey,Mongúz,Lemur,,Kb
7,4,Kb,,Franny,,,Lemur,Mongúz,Medve+Bébé,Zooey,Ka,,,
7,4,Kb,,Franny,,,,Medve+Bébé,Mongúz,Zooey,Ka,Lemur,,
7,4,,,Franny,,,,Lemur,Medve+Bébé,Zooey,Ka,Mongúz,,Kb
7,4,,,Franny,,,,Medve+Bébé,Lemur,Zooey,Ka,Mongúz,,Kb
7,4,,,Franny,,,,Mongúz,Medve+Bébé,Zooey,Ka,Lemur,,Kb
7,5,,,Franny,Ka,,Zooey,Kb,Lemur,Medve+Bébé,Mongúz,,,
7,5,,,Franny,Ka,,Zooey,Kb,Medve+Bébé,Lemur,Mongúz,,,
7,5,,,Franny,,,Zooey,Kb,Ka,Medve+Bébé,Mongúz,Lemur,,
7,5,,,Franny,,,Zooey,Kb,Lemur,Medve+Bébé,Ka,Mongúz,,
7,5,,,Franny,,,Zooey,Kb,Medve+Bébé,Lemur,Ka,Mongúz,,
7,5,,,Franny,Ka,,Lemur,Kb,Medve+Bébé,Zooey,Mongúz,,,
7,5,,,Franny,Ka,,,Kb,Medve+Bébé,Zooey,Lemur,Mongúz,,
7,5,,,Franny,Ka,,,Medve+Bébé,Kb,Zooey,Mongúz,Lemur,,
7,5,,,Franny,Ka,,,Lemur,Medve+Bébé,Zooey,Mongúz,Kb,,
7,5,,,Franny,Ka,,,Medve+Bébé,Lemur,Zooey,Mongúz,Kb,,
7,5,,,Franny,,,Lemur,Kb,Medve+Bébé,Zooey,Ka,Mongúz,,
