Rossz,Szomszedos,Okt. 5--7.,Okt. 19--21.,Őszi szünet,Nov. 16--18.,Nov. 23--25.,Dec. 7--9.,Dec. 21--23.,Jan. 4--6.,Jan. 11--13.,Jan. 18--20.,Jan. 25--27.
17,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Ka,Bálna,Beluga,Kb,Franny
17,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Kb,Bálna,Beluga,Ka,Franny
17,8,Okapi,,Ka,Mongúz,Zooey,Bárány,Kb,Beluga,Bálna,Franny,Lemur
17,8,Okapi,Mongúz,,Lemur,Zooey,Bárány,Kb,Beluga,Bálna,Franny,Ka
17,8,Okapi,,Ka,Lemur,Zooey,Bárány,Kb,Beluga,Bálna,Mongúz,Franny
17,8,Okapi,,Ka,Lemur,Zooey,Bárány,Kb,Franny,Beluga,Mongúz,Bálna
17,8,Okapi,,Ka,Mongúz,Zooey,Bárány,Kb,Lemur,Beluga,Franny,Bálna
17,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Kb,Bárány,Beluga,Franny,Ka
17,8,Okapi,,Ka,Bálna,Zooey,Lemur,Kb,Bárány,Beluga,Mongúz,Franny
17,8,Okapi,,Ka,Mongúz,Zooey,Lemur,Kb,Bárány,Beluga,Franny,Bálna
17,8,Okapi,Mongúz,Ka,Bálna,Zooey,Lemur,,Franny,Beluga,Bárány,Kb
17,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Ka,Franny,Beluga,Bárány,Kb
17,8,Okapi,,Ka,Bálna,Zooey,Lemur,Kb,Mongúz,Beluga,Bárány,Franny
17,8,Okapi,Mongúz,,Ka,Zooey,Lemur,Kb,Bálna,Beluga,Bárány,Franny
17,8,Okapi,,Ka,Bálna,Zooey,Mongúz,Kb,Franny,Beluga,Lemur,Bárány
17,8,Okapi,Mongúz,,Bálna,Zooey,Ka,Kb,Franny,Beluga,Lemur,Bárány
17,8,Okapi,,Ka,Bálna,Zooey,Lemur,Kb,Beluga,Mongúz,Franny,Bárány
17,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Kb,Ka,Beluga,Franny,Bárány
17,8,Okapi,Mongúz,,Bálna,Zooey,Lemur,Kb,Beluga,Ka,Franny,Bárány
17,8,Okapi,,Ka,Mongúz,Zooey,Bálna,Kb,Franny,Beluga,Lemur,Bárány
